CardImageURLs:	
Pro/HQ25_-_Sector_HQ_Pro8.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/HQ25_-_Sector_HQ_Pro8.jpg
CC/A1_-_-Ace_of_Clubs-_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_-Ace_of_Clubs-_CC.jpg
CC/A1_-_Ace_of_Clubs_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_Ace_of_Clubs_CC.jpg
Pro/A1_-_Aestheticism_Pro4.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A1_-_Aestheticism_Pro4.jpg
Pir/A1_-_Change_Of_Identity_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A1_-_Change_Of_Identity_Pir.jpg
PoM/A1_-_Infestation_Inhibitor_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A1_-_Infestation_Inhibitor_PoM.jpg
UE/A1_-_Infestation_Inhibitor_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A1_-_Infestation_Inhibitor_UE.jpg
PE/A1_-_Lesser_Automaton_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A1_-_Lesser_Automaton_PE.jpg
UE/A1_-_Lesser_Automaton_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A1_-_Lesser_Automaton_UE.jpg
Per/A1_-_Lunar_Eclipse_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A1_-_Lunar_Eclipse_Per.jpg
NE/A1_-_Medical_Scanner_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A1_-_Medical_Scanner_NE.jpg
PE/A1_-_Millennia_Molting_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A1_-_Millennia_Molting_PE.jpg
CC/A1_-_Mime_Pajamas_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_Mime_Pajamas_CC.jpg
PoM/A1_-_Mind_Shield_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A1_-_Mind_Shield_PoM.jpg
Per/A1_-_Perseverance_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A1_-_Perseverance_Per.jpg
GI/A1_-_Personal_Transportation_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A1_-_Personal_Transportation_GI.jpg
CC/T-A1_-_Shameless_Argonian_Sunbathing_Nude_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/T-A1_-_Shameless_Argonian_Sunbathing_Nude_CC.jpg
Pir/A1_-_Spiritual_Ascension_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A1_-_Spiritual_Ascension_Pir.jpg
CC/A1_-_Steak_Sauce_1-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_Steak_Sauce_1-4_CC.jpg
CC/A1_-_Steak_Sauce_2-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_Steak_Sauce_2-4_CC.jpg
CC/A1_-_Steak_Sauce_3-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_Steak_Sauce_3-4_CC.jpg
CC/A1_-_Steak_Sauce_4-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A1_-_Steak_Sauce_4-4_CC.jpg
NE/A1_-_Strategy_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A1_-_Strategy_NE.jpg
