Name	Set	ImageFile	Rarity	Errata 	Type/ST	Title	Reaction	Type	Alt Type	ST	Time ST	Empire	Card tags
A1 [Ace of Clubs] (CC)	CC	A1_-_-Ace_of_Clubs-_CC	U		A1	[Ace of Clubs]		A		1		 	[CC] Uncommon Cards LatestPrint Unique NotABG Nonempire typeSpcl artEdmondHoyle  
A1 Ace of Clubs (CC)	CC	A1_-_Ace_of_Clubs_CC	U		A1	Ace of Clubs		A		1		ComedyClub 	[CC] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew artPatMorrissey ComedyClub 
A1 Aestheticism (Pro)	Pro4	A1_-_Aestheticism_Pro4	Pro4		A1	Aestheticism		A		1		Orgon SpaceDragon Aesthetic 	[Pro4] Cards LatestPrint Unique NotABG MinorEmpire distMintCardCo AbilityCrew AbilityDragon AbilityTerrain artsomeguy Orgon SpaceDragon Aesthetic 
A1 Change Of Identity (Pir)	Pir	A1_-_Change_Of_Identity_Pir	U		R/A1	Change Of Identity	R/	A		1		 	[Pir] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artDavidA.Cherry  
A1 Infestation Inhibitor (PoM)	PoM	A1_-_Infestation_Inhibitor_PoM	U	Errata 	A1	Infestation Inhibitor		A		1		Filarian 	[PoM] Uncommon Cards Reprinted Unique NotABG MajorEmpire PropAnti PropRemoveFromPlay PropDoctorScience AbilityCrew artMelissaA.Benson Errata Filarian 
A1 Infestation Inhibitor (UE)	UE	A1_-_Infestation_Inhibitor_UE	U0	Errata 	A1	Infestation Inhibitor		A		1		Filarian 	[UE] Uncommon0 Cards LatestPrint Unique NotABG MajorEmpire PropAnti PropRemoveFromPlay PropDoctorScience AbilityCrew artMelissaA.Benson Errata Filarian 
A1 Lesser Automaton (PE)	PE	A1_-_Lesser_Automaton_PE	U		A1	Lesser Automaton		A		1		 	[PE] Uncommon Cards Reprinted Unique NotABG Nonempire Automaton AbilityCrew artClineA.Siegenthaler  
A1 Lesser Automaton (UE)	UE	A1_-_Lesser_Automaton_UE	U0		A1	Lesser Automaton		A		1		 	[UE] Uncommon0 Cards LatestPrint Unique NotABG Nonempire Automaton AbilityCrew artClineA.Siegenthaler  
A1 Lunar Eclipse (Per)	Per	A1_-_Lunar_Eclipse_Per	U		A1	Lunar Eclipse		A		1		 	[Per] Uncommon Cards LatestPrint Unique NotABG PropDrawcard PropPlaycard Nonempire AbilityTerrain artC.HenrySchulte  
A1 Medical Scanner (NE)	NE	A1_-_Medical_Scanner_NE	C		A1	Medical Scanner		A		1		 	[NE] Common Cards LatestPrint Unique NotABG Nonempire PropDoctorScience AbilityCrew 01_ResearchPoint artDarrylElliott  
A1 Millennia Molting (PE)	PE	A1_-_Millennia_Molting_PE	U	Errata 	A1	Millennia Molting		A		1		Orgon SpaceDragon 	[PE] Uncommon Cards LatestPrint Unique NotABG MinorEmpire AbilityDragon artRonRousselleII Errata Orgon SpaceDragon 
A1 Mime Pajamas (CC)	CC	A1_-_Mime_Pajamas_CC	U		R/A1	Mime Pajamas	R/	A		1		 	[CC] Uncommon Cards LatestPrint Unique NotABG PropMime Nonempire AbilityCrew artRandyTarkasHoar  
A1 Mind Shield (PoM)	PoM	A1_-_Mind_Shield_PoM	U		R/A1	Mind Shield	R/	A		1		Orgon SpaceDragon Psycanti Visonic 	[PoM] Uncommon Cards LatestPrint Unique NotABG MajorEmpire PropAnti AbilityCrew AbilityDragon artDougSavage Orgon SpaceDragon Psycanti Visonic 
A1 Perseverance (Per)	Per	A1_-_Perseverance_Per	U		R/A1	Perseverance	R/	A		1		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artRobertA.Kraus  
A1 Personal Transportation (GI)	GI	A1_-_Personal_Transportation_GI	V0		R/A1	Personal Transportation	R/	A		1		 	[GI] Veryrare0 Cards LatestPrint Unique NotABG Nonempire AbilityCrew artDavidLeeAnderson  
T/A1 Shameless Argonian Sunbathing Nude (CC)	CC	T-A1_-_Shameless_Argonian_Sunbathing_Nude_CC	U		T/A1	Shameless Argonian Sunbathing Nude		A	T	1		Argonian 	[CC] Uncommon Cards LatestPrint Dupe NotABG MajorEmpire AbilityCrew artElvisMcMaad Argonian 
A1 Spiritual Ascension (Pir)	Pir	A1_-_Spiritual_Ascension_Pir	U		A1	Spiritual Ascension		A		1		TimeKnight 	[Pir] Uncommon Cards LatestPrint Unique NotABG MinorEmpire AbilityCrew artPatMorrissey TimeKnight 
